私の強みは自ら定めた目標・課題に対して計画的かつ根気強く取り組める点です。
----
word count:37

私
0.831 僕
0.805 わたし
0.794 あなた
0.768 貴方
0.757 私たち
0.746 です
0.743 私自身
0.740 けれど
0.725 私達
0.723 だから

強み
0.670 スケールメリット
0.669 生かし
0.666 特長
0.660 活かし
0.655 コアコンピタンス
0.654 ##シナジー効果##
0.648 生かせる
0.642 ノウハウ
0.636 シナジー効果
0.631 事業ドメイン

自ら
0.857 自身
0.811 自分
0.758 彼
0.747 みずから
0.731 自分たち
0.728 彼自身
0.712 自分自身
0.709 彼ら
0.690 そして
0.683 意思

定め
0.796 定める
0.732 規定
0.715 義務づけ
0.711 義務付け
0.666 遵守
0.664 ##大日本帝国憲法第8条##
0.663 ##民生委員法##
0.661 ##指定公共機関##
0.657 課せ
0.655 取り決め

た
0.887 て
0.882 に
0.877 が
0.872 は
0.863 し
0.859 を
0.854 の
0.851 で
0.835 と
0.831 も

目標
0.701 ##目標##
0.656 目標達成
0.653 目指し
0.648 目指す
0.591 達成
0.557 掲げ
0.556 ##フォロワー##
0.555 ##プライマリーバランス##
0.554 実現
0.552 目標数値

・
0.726 ）
0.721 、
0.719 （
0.683 の
0.646 は
0.636 と
0.625 「
0.615 。
0.612 」
0.611 に

課題
0.727 問題点
0.704 現状
0.693 問題
0.669 解決策
0.660 諸問題
0.646 ##持続的発展##
0.643 取り組み
0.635 ##目標管理##
0.632 ##デジタルデバイド##
0.631 あり方

対し
0.773 対する
0.761 他方
0.749 一方
0.741 に対し
0.726 に対して
0.706 とはいえ
0.699 しかしながら
0.698 むしろ
0.693 そのため
0.685 というのも

計画
0.736 構想
0.733 建設計画
0.703 立案
0.677 ##計画##
0.673 建設
0.653 基本計画
0.652 具体化
0.651 事業計画
0.651 計画通り
0.646 マスタープラン

的
0.711 な
0.637 よう
0.634 もの
0.632 ##西ヨーロッパ諸語##
0.629 現実的
0.629 直接的
0.625 階級主義
0.618 意識的
0.618 純粋
0.616 パターナリスティック

かつ
0.791 且つ
0.743 なおかつ
0.654 極めて
0.644 ゆえ
0.642 非常
0.620 常に
0.609 故に
0.606 しかも
0.603 きわめて
0.596 ゆえに

根気
0.700 忍耐強く
0.680 忍耐力
0.678 粘り強く
0.662 やりとげる
0.661 ねばり強く
0.649 進んで
0.649 やり遂げる
0.631 一生懸命
0.627 努力
0.627 思いやり

強く
0.898 強い
0.766 弱く
0.751 弱い
0.740 強かっ
0.673 表れ
0.673 反面
0.670 傾向
0.670 嫌う
0.668 激しく
0.665 強める

取り組める
0.687 取り組む
0.663 学び取る
0.643 あたれる
0.641 産業現場
0.640 ##自然体験##
0.636 費やせる
0.635 一人ひとり
0.635 ##情操##
0.634 助け合える
0.634 ##知育##

点
0.592 相違
0.529 したがって
0.526 一点
0.520 どの時
0.517 ##ベリーのパラドックス##
0.517 ディダクション
0.513 差異
0.512 ##有意性##
0.509 つまり
0.509 2点

です
0.828 でし
0.759 けど
0.755 でしょ
0.746 私
0.740 ござい
0.733 （笑）
0.733 本当に
0.719 まし
0.717 ありません
0.713 ませ
